i,birth,death,dim,nodes
117,1916,1993,1,Focus (optics);Mirror
118,1916,2100,1,Chromaticity;Luminance
119,1916,2100,1,Wollaston prism;Rochon prism
120,1917,2100,1,Microscope;Eyepiece
121,1917,2100,1,Visual system;Eye
122,1917,2100,1,Visual system;Optical illusion
123,1917,1992,1,Normal lens;Aspheric lens
124,1917,2100,1,Focus (optics);Eye
125,1917,2100,1,Luminance;Optical illusion
126,1918,2100,1,Eyepiece;Exit pupil
127,1918,2100,1,Optical axis;Cassegrain reflector
128,1919,2100,1,Optical axis;Cardinal point (optics)
129,1919,2100,1,Optical axis;Optical axis gratings
130,1919,2100,1,Pinhole camera;Entrance pupil
131,1919,2100,1,Birefringence;Nomarski prism
132,1919,2100,1,Diffraction grating;Optical axis gratings
133,1919,1980,1,Wollaston prism;Nomarski prism
134,1919,2100,1,Off-axis optical system;Ray tracing (physics)
135,1920,1921,1,Laser;Holography
136,1920,2100,1,Diffraction;Optical lens design
137,1921,2100,1,Optics;Fabrication and testing (optical components)
138,1921,2100,1,Optical lens design;List of lens designs
139,1930,2100,1,Photomultiplier;Avalanche photodiode
140,1930,2100,1,Photomultiplier;Rgb color model
141,1931,2100,1,Optoelectronics;Photoresistor
142,1932,2100,1,Refractive index;Photorefractive effect
143,1932,2100,1,Gaussian beam;Kerr-lens modelocking
144,1932,2100,1,Holography;Photorefractive effect
145,1932,2100,1,Photonic crystal;Optical computer
146,1932,2100,1,Fourier optics;Optical computer
147,1932,2100,1,Fourier optics;Optical processor
148,1938,2100,1,Phase (waves);Chrominance
149,1939,2100,1,Luminance;Chromaticity diagram
150,1939,2100,1,Color science;Chromaticity diagram
151,1940,2100,1,Fluorescence;Confocal laser scanning microscopy
152,1940,2100,1,Diffraction;Confocal laser scanning microscopy
153,1940,2100,1,Photomultiplier;Confocal laser scanning microscopy
154,1940,2100,1,Numerical aperture;Confocal laser scanning microscopy
155,1940,2000,1,Camera;Confocal laser scanning microscopy
156,1946,1964,1,Polarization (waves);Synchrotron radiation
157,1948,1980,1,Beam splitter;Glan–laser prism
158,1958,2100,1,Q-switching;Kerr cell
159,1958,2100,1,Confocal laser scanning microscopy;Laser applications
160,1959,2100,1,Spectroscopy;Acousto-optic modulator
161,1959,2100,1,Acousto-optic modulator;Brillouin scattering
162,1960,2100,1,Fiber optics;Nonimaging optics
163,1963,1964,1,Spontaneous emission;Fluorescence
164,1965,2100,1,Lightning;Avalanche photodiode
165,1965,2100,1,Lightning;Laser applications
166,1965,2100,1,Light bulb;Lumen (unit)
167,1966,2100,1,Telescope;Fiber amplifier
168,1966,2100,1,Brillouin scattering;Fiber amplifier
169,1966,1994,1,Thin-film optics;Dichroic filter
170,1966,2100,1,Birefringence;Fiber amplifier
171,1966,1981,1,Dichroism;Dichroic filter
172,1970,2100,1,Refractive index;Optical tweezers
173,1980,2100,1,Prism (optics);Iridescence
174,1992,1995,1,Refraction;Afterglow
175,1992,2100,1,Angle of incidence (optics);Retroreflector
176,1992,2100,1,Angle of incidence (optics);Effect of sun angle on climate
177,1992,2100,1,Photographic lens;Stereoscopy
178,1992,2100,1,Retroreflector;Laser applications
179,1992,2100,1,Optical waveguide;Photonics
180,1993,2100,1,Faraday effect;Transparency (optics)
181,1993,2100,1,Aberration in optical systems;Cooke triplet
182,1994,2100,1,Refractive index;Dual polarisation interferometry
