i,birth,death,dim,cavity,death_nodes
305,1931,2100,2,Psycholinguistics;Sentence (linguistics);Linguistic layers,
306,1940,2100,2,Corpus linguistics;Machine translation;Word sense disambiguation,
307,1951,1960,2,Theoretical linguistics;Etymology;Language;Linguist;List of linguistic topics;Linguistics;Philology,Semantics
308,1951,2100,2,Comparative linguistics;Philology;Etymologist,
309,1960,2100,2,Semantics;Context (language use);Linguistic layers,
310,1960,2100,2,Computational linguistics;Linguist;Speech recognition,
311,1960,2021,2,Theoretical linguistics;Phonetics;Linguistic layers;Language;Computational linguistics;Linguistics;Speech recognition,List of cognitive science topics
312,1960,2100,2,Translation;Linguist;Speech recognition,
313,1960,2100,2,Translation;Speech recognition;Linguistic layers,
314,1960,2100,2,Speech recognition;Speech processing;Linguistic layers,
315,1961,2100,2,Truth condition;Sentence (linguistics);Linguistic layers,
316,1961,2021,2,Sociolinguistics;Linguistic layers;Language;Pragmatics;Linguistics;Semantics,List of cognitive science topics
317,1961,2100,2,Morphology (linguistics);Grammatical case;Linguistics basic topics,
318,1961,2100,2,Morphology (linguistics);Grammatical case;Preposition,
319,1961,2100,2,Corpus linguistics;Discourse;Linguist,
320,1961,2100,2,Corpus linguistics;Discourse;Linguistic layers,
321,1961,2100,2,Corpus linguistics;Discourse;Word sense disambiguation,
322,1961,2100,2,Natural language;Writing systems;Formal language,
323,1961,2100,2,Inflection;Grammatical voice;Linguistics basic topics,
324,1961,2100,2,Grammatical case;Subject (grammar);Nominative case,
325,1961,2100,2,Grammatical case;Preposition;Adjective,
326,1961,2100,2,Phrase;Preposition;Noun phrase,
327,1961,2100,2,Preposition;Noun;Noun phrase,
328,1962,2100,2,Grammar;Phonology;Speech therapy,
329,1962,2100,2,Computational linguistics;Anaphora (linguistics);Word sense disambiguation,
330,1962,2100,2,Translation;Word;Word sense disambiguation,
331,1962,2100,2,List of linguistic topics;Terminology;Word,
332,1962,2100,2,Scientific;Presupposition;Linguistics basic topics,
333,1962,2100,2,Terminology;Word;Linguistics basic topics,
334,1962,2100,2,Inflection;Grammatical voice;Infinitive,
335,1962,1965,2,Inflection;Inflected language;Infinitive;Grammar;Grammatical tense;Grammatical voice,Grammatical conjugation
336,1962,2100,2,Inflection;Infinitive;Grammatical particle,
337,1962,2100,2,Declension;Indo-european languages;Inflected language,
338,1962,2100,2,Phoneme;Word;Writing systems,
339,1962,2100,2,Phoneme;Word;Minimal pair,
340,1962,1963,2,Preposition;Grammatical case;Grammatical particle;Inflection;Noun;Grammar;Infinitive;Part of speech,Verb
341,1963,2100,2,Morphology (linguistics);Grammatical case;Adposition,
342,1963,2100,2,Etymology;Indo-european languages;Loanword,
343,1963,2100,2,Linguistic typology;Adposition;Subject–verb–object,
344,1963,1964,2,Linguist;List of linguistic topics;Pragmatics;Lexeme;Linguistics;Stratificational linguistics;Linguistics basic topics,Lexicon
345,1963,2100,2,Inflection;Grammatical gender;Verb,
346,1963,2100,2,Inflection;Lexeme;Verb,
347,1963,2100,2,Inflection;Part of speech;Verb,
348,1963,2100,2,Grammatical case;Preposition;Article (grammar),
349,1963,2100,2,Grammatical case;Infinitive;Adposition,
350,1963,2100,2,Grammatical case;Genitive case;Adposition,
351,1963,2100,2,Grammatical case;Adposition;Article (grammar),
352,1963,2100,2,Phrase;Noun phrase;Adposition,
353,1963,1966,2,Verb;Inflection;Morphology (linguistics);Noun;Lexeme;Linguistics;Part of speech;Word,Derivation (linguistics)
354,1963,2100,2,Preposition;Copula (linguistics);Verb,
355,1963,2100,2,Infinitive;Adposition;Adpositional phrase,
356,1963,2100,2,Inflected language;Nominative case;Verb,
357,1963,2100,2,Noun;Noun phrase;Adposition,
358,1963,2100,2,Noun phrase;Adposition;Adpositional phrase,
359,1963,2100,2,Adjunct (grammar);Adposition;Adpositional phrase,
360,1963,2100,2,Adverbial;Adposition;Verb,
361,1963,2100,2,Adposition;Copula (linguistics);Verb,
362,1963,2100,2,Adposition;Subject–object–verb;Verb,
363,1964,2100,2,Pragmatics;Lexicon;Linguistic layers,
364,1964,2100,2,Pragmatics;Lexicon;Word sense disambiguation,
365,1964,2100,2,Lexicography;Lemma (morphology);Linguistics basic topics,
366,1964,2100,2,Lexical semantics;Lexicon;Linguistic layers,
367,1964,2100,2,Stratificational linguistics;Lexicon;Linguistic layers,
368,1964,2100,2,Declension;Indo-european languages;Fusional language,
369,1964,2100,2,Grammatical case;Phrase;Determiner (linguistics),
370,1964,2100,2,Grammatical case;Genitive case;Determiner (linguistics),
371,1964,2100,2,Word;Affix;Determiner (linguistics),
372,1964,2100,2,Word;Noun;Determiner (linguistics),
373,1964,2100,2,Subject (grammar);Infinitive;Adverb,
374,1964,2100,2,Preposition;Genitive case;Adverb,
375,1964,2100,2,Irregular verb;Present tense;Past tense,
376,1964,2100,2,Nominative case;Verb;Fusional language,
377,1964,2100,2,Noun;Noun phrase;Determiner (linguistics),
378,1964,2100,2,Adjective;Adverb;Function word,
379,1965,2100,2,Inflection;Grammatical tense;Grammatical conjugation,
380,1965,2100,2,Inflection;Adjective;Superlative,
381,1965,2100,2,Inflection;Fusional language;Grammatical conjugation,
382,1965,2100,2,Declension;Word;Uninflected word,
383,1965,2100,2,Grammatical number;Preposition;Uninflected word,
384,1965,2100,2,Grammatical number;Adposition;Uninflected word,
385,1965,2100,2,Word;Lemma (morphology);Uninflected word,
386,1965,2100,2,Word;Affix;Uninflected word,
387,1965,2100,2,Preposition;Noun;Uninflected word,
388,1965,2100,2,Preposition;Grammatical particle;Superlative,
389,1965,2100,2,Affix;Uninflected word;Null morpheme,
390,1965,2100,2,Noun;Adposition;Uninflected word,
391,1965,2100,2,Noun;Grammatical conjugation;Animacy,
392,1965,2100,2,Adjective;Adverb;Possessive case,
393,1965,2100,2,Adjective;Adverb;Disjunct (linguistics),
394,1965,2100,2,Adjunct (grammar);Adverbial;Disjunct (linguistics),
395,1965,2100,2,Grammatical particle;Possessive case;Superlative,
396,1966,2100,2,Morphology (linguistics);Grammatical case;Postposition,
397,1966,2100,2,Dictionary;Standard language;Linguistic layers,
398,1966,2100,2,Linguistic typology;Subject–verb–object;Postposition,
399,1966,2100,2,Inflection;Affix;Derivation (linguistics),
400,1966,2100,2,Grammatical number;Verb;Postposition,
401,1966,2100,2,Grammatical case;Infinitive;Postposition,
402,1966,2100,2,Grammatical case;Genitive case;Postposition,
403,1966,2100,2,Grammatical case;Article (grammar);Postposition,
404,1966,2100,2,Phrase;Noun phrase;Postposition,
405,1966,2100,2,Word;Uninflected word;Compound verb,
406,1966,2100,2,Word;Verb;Compound verb,
407,1966,2100,2,Descriptive linguistics;Standard language;Linguistic layers,
408,1966,2100,2,Subject (grammar);Verb;Verb phrase,
409,1966,2100,2,Affix;Vowel stems;Null morpheme,
410,1966,2100,2,Irregular verb;Present tense;Vowel stems,
411,1966,2100,2,Infinitive;Adpositional phrase;Postposition,
412,1966,2100,2,Noun;Noun phrase;Postposition,
413,1966,2100,2,Noun;Uninflected word;Postposition,
414,1966,2100,2,Telicity;Verb;Verb phrase,
